,User,Tweet
0,viaalvesacc,"TW SUICÍDIO AUTOMUTILAÇÃO
 
.
.
.
.
.
.
.
.
.
.
.
.
Ódio pq eu tava toda ""ah meu último dia e tal"" e n rolou, a porcaria da coisa tava CEGA e eu agora só tô triste deprimida suicida e sem amigos"
1,tata_soaress1,RT @Dodiban_7: Vida do crime é suicídio lento💭
2,luzaltruva2865,"RT @luzaltruva2865: @GustavoBolivar Al PACTO DE LA PICOTA no hay mucho que decirles, sus malos actos hablan por ellos. Mejor dicho! Ellos c…"
3,IlGonzall,"RT @paeguiguren: Matamala miente.
Internacionales NO ven con optimismo el borrador de nueva constitución chilena.
WSJ: “suicidio constituci…"
4,RamosMait1,"RT @AnaAlic18810883: #CarlaoPignatariPautePDL
@rodrigogarcia_ Revogue Decreto 65.021/20 com urgência. Aposentados passando fome e tentando…"
5,mayakjkk,"Maya não compreende Analise Combinatoria &amp; Probabilidade. Maya tem prova de Analise Combinatoria &amp; Probabilidade amanhã. Quais a probabilidade de Maya cometer suicídio as 22 horas do dia de hoje? Log 2 = 0,3"
6,GabiAranguiz,RT @INFORMADORCHILE: Columnista de The Wall Street Journal afirma que “Chile se desliza hacia el suicidio constitucional”➡️ https://t.co/uW…
7,cubitosmaggiii,"RT @MisPutasPoesias: Sépanlo, mi único talento es parecer alguien tranquilo y sin emociones cuando en realidad estoy al borde del suicidio…"
8,eujuniorbotelho,"@namodavi3 @bluntlism @thealexcycle Não estou afim de me jogar da ponte, mas tudo bem, eu respeito o fato de você incitar o suicídio. Agora me diga,  por que eu sou incel e misógino? Só porque chamei uma vagabunda de vagabunda?"
9,Noticaribe,EVITAN SUICIDIO EN CHETUMAL: Hombre amenazaba con lanzarse de puente en la capital de Quintana Roo - https://t.co/O2PKsxQhVE
10,alexallvs,@7kitsuni7 @canelexv eu queria poder comprar um suicídio na shoppe
11,Emlopez2002,"RT @fflorcontreras: Mi hermano Luis se suicido. 
Si, se suicido.
Con todas y cada una de las letras que componen esa palabra, porque lo que…"
12,Molina_jatp,"RT @wzsolano: Não to suportando esse clima de despedida, pensar que esse vai ser o ultimo almoço dos Marino...meudeus eu vou cometer suicíd…"
13,Alba_Gomez4,"RT @aino_rl: 024 el teléfono de prevención al suicidio. 
Llamé una noche, había bebido unas copas y sabía que si subía a mi piso tenía peli…"
